,FC_measure,band,frm,to,r
74,aec,3-alfa,.1973WilsonCowan,FC_subj08,0.055082595859113216
75,plv,3-alfa,.1973WilsonCowan,FC_subj08,0.1277553440854662
76,aec,4-beta,.1973WilsonCowan,FC_subj08,0.03797276565637868
77,plv,4-beta,.1973WilsonCowan,FC_subj08,0.10263785715922331
78,aec,5-gamma,.1973WilsonCowan,FC_subj08,0.04061950260112183
79,plv,5-gamma,.1973WilsonCowan,FC_subj08,0.030953625627474654
80,aec,1-delta,.1973WilsonCowan,FC_subj09,-0.002466221415914649
81,plv,1-delta,.1973WilsonCowan,FC_subj09,0.03327607356345507
82,aec,2-theta,.1973WilsonCowan,FC_subj09,0.018932921712735445
83,plv,2-theta,.1973WilsonCowan,FC_subj09,0.11160200706029479
84,aec,3-alfa,.1973WilsonCowan,FC_subj09,0.013886473173358668
85,plv,3-alfa,.1973WilsonCowan,FC_subj09,0.16670004479407793
86,aec,4-beta,.1973WilsonCowan,FC_subj09,0.064504344587296
87,plv,4-beta,.1973WilsonCowan,FC_subj09,0.13179452578188808
88,aec,5-gamma,.1973WilsonCowan,FC_subj09,0.06939590751943982
89,plv,5-gamma,.1973WilsonCowan,FC_subj09,0.03540724126572765
90,aec,1-delta,.1973WilsonCowan,FC_subj10,-0.02673186265480354
91,plv,1-delta,.1973WilsonCowan,FC_subj10,0.02686785970208894
92,aec,2-theta,.1973WilsonCowan,FC_subj10,0.020080486313398045
93,plv,2-theta,.1973WilsonCowan,FC_subj10,0.10856922510796889
94,aec,3-alfa,.1973WilsonCowan,FC_subj10,0.038836291513357005
95,plv,3-alfa,.1973WilsonCowan,FC_subj10,0.17651438991448523
96,aec,4-beta,.1973WilsonCowan,FC_subj10,0.061134119238398205
97,plv,4-beta,.1973WilsonCowan,FC_subj10,0.1336411066612913
98,aec,5-gamma,.1973WilsonCowan,FC_subj10,0.037973452164138485
99,plv,5-gamma,.1973WilsonCowan,FC_subj10,0.03529343020351008
100,aec,1-delta,FC_subj02,.1973WilsonCowan,-0.017227535568698743
101,plv,1-delta,FC_subj02,.1973WilsonCowan,0.03044908795394851
102,aec,2-theta,FC_subj02,.1973WilsonCowan,0.05270050636795675
103,plv,2-theta,FC_subj02,.1973WilsonCowan,0.08009879036858733
104,aec,3-alfa,FC_subj02,.1973WilsonCowan,0.03916327351715052
105,plv,3-alfa,FC_subj02,.1973WilsonCowan,0.11217692491881019
106,aec,4-beta,FC_subj02,.1973WilsonCowan,0.057633858460184484
107,plv,4-beta,FC_subj02,.1973WilsonCowan,0.10908265717894035
108,aec,5-gamma,FC_subj02,.1973WilsonCowan,0.05279879330900455
109,plv,5-gamma,FC_subj02,.1973WilsonCowan,0.05176908723396549
110,aec,1-delta,FC_subj02,FC_subj02,1.0
111,plv,1-delta,FC_subj02,FC_subj02,0.9999999999999998
112,aec,2-theta,FC_subj02,FC_subj02,1.0
113,plv,2-theta,FC_subj02,FC_subj02,1.0
114,aec,3-alfa,FC_subj02,FC_subj02,1.0
115,plv,3-alfa,FC_subj02,FC_subj02,1.0
116,aec,4-beta,FC_subj02,FC_subj02,1.0
117,plv,4-beta,FC_subj02,FC_subj02,1.0
118,aec,5-gamma,FC_subj02,FC_subj02,1.0
119,plv,5-gamma,FC_subj02,FC_subj02,1.0
120,aec,1-delta,FC_subj02,FC_subj03,0.5825607078968588
121,plv,1-delta,FC_subj02,FC_subj03,0.6838449403639154
122,aec,2-theta,FC_subj02,FC_subj03,0.5692010359216062
123,plv,2-theta,FC_subj02,FC_subj03,0.6999068507787668
124,aec,3-alfa,FC_subj02,FC_subj03,0.5866601142255625
125,plv,3-alfa,FC_subj02,FC_subj03,0.7039557322683276
126,aec,4-beta,FC_subj02,FC_subj03,0.4190384720961462
127,plv,4-beta,FC_subj02,FC_subj03,0.7073529584802808
128,aec,5-gamma,FC_subj02,FC_subj03,0.5490893753964584
129,plv,5-gamma,FC_subj02,FC_subj03,0.7036823643661824
130,aec,1-delta,FC_subj02,FC_subj04,0.6303917945666685
131,plv,1-delta,FC_subj02,FC_subj04,0.7153087816979797
132,aec,2-theta,FC_subj02,FC_subj04,0.6169882846516496
133,plv,2-theta,FC_subj02,FC_subj04,0.7233354572293387
134,aec,3-alfa,FC_subj02,FC_subj04,0.5561238756250239
135,plv,3-alfa,FC_subj02,FC_subj04,0.7171748252110407
136,aec,4-beta,FC_subj02,FC_subj04,0.5614284904014253
137,plv,4-beta,FC_subj02,FC_subj04,0.745832141773407
138,aec,5-gamma,FC_subj02,FC_subj04,0.626695602179373
139,plv,5-gamma,FC_subj02,FC_subj04,0.7683278104261589
140,aec,1-delta,FC_subj02,FC_subj05,0.5601415585286134
141,plv,1-delta,FC_subj02,FC_subj05,0.7173320422772403
142,aec,2-theta,FC_subj02,FC_subj05,0.5753831044271154
143,plv,2-theta,FC_subj02,FC_subj05,0.7309169424454165
144,aec,3-alfa,FC_subj02,FC_subj05,0.6586963780294166
145,plv,3-alfa,FC_subj02,FC_subj05,0.7280984753948004
146,aec,4-beta,FC_subj02,FC_subj05,0.5336679432266116
147,plv,4-beta,FC_subj02,FC_subj05,0.7176065010512173
