targetRegion,stimFreq,stimWeight,band,Right-bankssts,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-cuneus,Right-entorhinal,Right-frontalpole,Right-fusiform,Right-inferiorparietal,Right-inferiortemporal,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-paracentral,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-temporalpole,Right-transversetemporal,Left-bankssts,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-cuneus,Left-entorhinal,Left-frontalpole,Left-fusiform,Left-inferiorparietal,Left-inferiortemporal,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-paracentral,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-temporalpole,Left-transversetemporal
Left-cuneus,4,0.0,3-alfa,0.9871524451488102,0.8589851634386657,0.783083174691045,0.9983531759068066,0.7810613076273188,0.9393495861801561,0.8705976297386879,0.9842963585466807,0.9399152676205573,0.9303324155953766,0.8133434341186786,0.9702495753631555,0.903465476591158,0.8029839325245433,0.9355168573349057,0.841151636772701,0.6825112323240211,0.9326746249941076,0.9288118425094158,0.9867154393695904,0.7356726179914737,0.8095611315990962,0.8647418130180845,0.9940847156863069,0.918362112500619,0.9104965030093156,0.7906766912499374,0.9997313405285906,0.9417692527017196,0.8266202809669883,0.937175891066524,0.7884950101548303,0.8840855194405627,0.8160292478721219,0.8205530354252883,0.7921929954708624,1.0,0.9461395107087971,0.8206090432887292,0.9311339869160753,0.9211618846972848,0.9211287904129143,0.9573021475859769,0.9236984220345631,0.950589076127109,0.9952009721357523,0.8251374938857807,0.9152822281703697,0.8007302836051471,0.9069374066144101,0.9720747004345741,0.9030834309179416,0.9538482565976791,0.952291175849698,0.7897098032142779,0.7846548652893983,0.9822895865183788,0.8986693015559948,0.7852837892985123,0.7847798785633068,0.9956450800171515,0.7719785964838207,0.9345744625857908,0.9247351403273627,0.7869164085585744,0.8787477088223485
Left-cuneus,4,0.2,3-alfa,0.9904442187943407,0.9058651978242842,0.911246169445128,0.8584163085531286,0.8033786834439306,0.7442689834336504,0.2461183241375957,0.943207473680802,0.9665446319513047,0.4028721007261237,0.8945787301423035,0.6240733160500139,0.9283892905013729,0.8862851472406945,0.9610919078928328,0.17846330843300812,0.4558318548350462,0.9185725723376515,0.8667252253378664,0.8895410644874235,0.9527390546897688,0.8696562787791566,0.4152101494647238,0.5604709502528771,0.6351133551603385,0.8990088080048033,0.867258092036521,0.9071448060827123,0.875453504945803,0.8411978858561517,0.9456978177269608,0.9587715244615519,0.9395651144949119,0.6165040843983393,0.210111576186868,0.8831573794155848,1.0,0.8277155147020854,0.9841687223379777,0.6748550860989527,0.8264753841016723,0.6243291981477905,0.8471924211445762,0.9052511433271571,0.9292060877136195,0.674427707625879,0.9538997175999366,0.7295613044236655,0.4954617171594971,0.6015468250561407,0.9530411880461248,0.7900319484527516,0.9409081392682169,0.6625547438932619,0.8138381910342392,0.39450283601892194,0.3218143770821507,0.7395186569203571,0.7322598154992495,0.9269247311300056,0.8985094439856355,0.931167772970251,0.7718966254594332,0.6506310698742982,0.9645545636021806,0.4344997565170966
Left-cuneus,4,0.4,3-alfa,0.9180893554893998,0.47062809703387687,0.46182961423815233,0.7056775701497049,0.2522156013233112,0.698733019556907,0.33030465868935327,0.9349787988036893,0.49913315827602484,0.503317121279015,0.6594803888166367,0.4897625084181702,0.8376267096770259,0.5266149971957855,0.951300324332194,0.38591554511514486,0.34241201175179375,0.5277991206742246,0.4582000758678758,0.46514899339866955,0.5828399737927534,0.7653316096634347,0.8406493700609822,0.6938616083124913,0.8475989883530978,0.46104109870090376,0.4930402854691336,0.4194200588775053,0.8985406357364237,0.1277552501110097,0.9169387357534338,0.28570318928428634,0.8706323878109729,0.4824413323013579,0.813309114664178,0.5290672029794687,1.0,0.901513533734054,0.6848262495958655,0.8193095265867821,0.8673334368843355,0.6020718451226419,0.9016620817189955,0.557140461050502,0.9303578431084507,0.9095715065758232,0.5584522607522868,0.788125834020136,0.9059607076816913,0.8782222760037088,0.624272200585212,0.7499121003186408,0.7999218121509151,0.9121160475493096,0.8572200121181421,0.9184902387076579,0.5870579364348861,0.9462655242913215,0.7768455773662527,0.5795517356277631,0.5593414043471072,0.8197059286330638,0.8594320009805563,0.5686100706168532,0.9164596538309902,0.34402401944550864
Left-cuneus,14,0.0,3-alfa,0.9877786654477414,0.7781726678564708,0.8925672148966668,0.9798595990253764,0.8763606386035275,0.9607002575752015,0.9674847555367921,0.9671129745500139,0.9786778807310009,0.7507822843594424,0.7570965817693736,0.929732670605264,0.8864338953232457,0.8389235886236575,0.9787224515638004,0.7937603024609451,0.9042428704979122,0.7830232823324049,0.763565103263262,0.9659035504917237,0.8845813800559474,0.9202824987796226,0.7735087939496719,0.9808296231036009,0.7260429389068793,0.950553749998627,0.908341562478704,0.9928979562668193,0.9727009076618865,0.8029942832214858,0.9209262957144991,0.8872563636452304,0.9279589734502609,0.8003016208671212,0.8169337600940096,0.8594466680146928,1.0,0.8103391997047587,0.8167492507317374,0.6947018792083437,0.8011245360059382,0.9054433607460937,0.9033574627437979,0.9410747723076348,0.843159280440254,0.9957647696808013,0.8114485106265161,0.8720546396661234,0.9191758929773564,0.7348128396516878,0.9316542106802429,0.7553088136031534,0.8614181235068933,0.9631513189888701,0.863668895767594,0.8833870194955129,0.9864125152529541,0.7485394380118048,0.8831822817570546,0.8822475149906072,0.994191112294682,0.9248648943295201,0.7421065330736477,0.7548801887940182,0.9105756640511918,0.6021784347830889
Left-cuneus,14,0.2,3-alfa,0.9662959910949089,0.42220202380024296,0.219745185311662,0.9648072591067092,0.9668154333635873,0.35125517428315195,0.9655131300606021,0.9735484435866821,0.965176478100686,0.986439707885756,0.9646086883659148,0.792685071556765,0.9973658269416468,0.264848608037625,0.9702051157021815,0.8206858289729445,0.9670209050555394,0.5921169135494224,0.7171230470790019,0.6560349010127353,0.9804974957317079,0.9865559866389003,0.8696570614100224,0.664396332349491,0.9990463038216149,0.4459664143397147,0.2869227582750265,0.14038406052414476,0.9854787641926877,0.9656578525887668,0.994752465781455,0.9829301216132508,0.962978174334465,0.9654844314290819,0.8809475430432355,0.24877968264186112,1.0,0.966080921672829,0.8417547722703164,0.9647111978942453,0.9652486909969068,0.9961868291430807,0.9718251235366687,0.9696652297744129,0.9613731660552182,0.9751192500761363,0.7017953144499534,0.9949954329948895,0.9599252532745348,0.9658896975657332,0.695115935168298,0.9044151135948435,0.8625598365728364,0.9672299150385012,0.9674178003803584,0.9690840729307877,0.802516342495571,0.9692886533234917,0.8888638508998371,0.6276483389482993,0.5134987777278138,0.9709636680884547,0.9806730471252251,0.987595631355113,0.9659256203974455,0.9647201766886077
Left-cuneus,14,0.4,3-alfa,0.9662804032906308,0.3978193190074184,0.1522082483487666,0.96490563353624,0.9664894128977297,0.24068763256630432,0.9651460401306577,0.9732024422291312,0.965026408672153,0.9866300559739711,0.964694839149029,0.757480266057094,0.997398584607235,0.21470601205302742,0.9703902038986132,0.8001337960555861,0.9672294257278916,0.5280352309474539,0.7006988662824246,0.6435504349573816,0.9806254481336545,0.9830195301043064,0.811748476950195,0.6762244268983209,0.9985837548162164,0.3941690162364758,0.25594355802050844,0.13608517279582408,0.989071338251485,0.9658716362402706,0.9935234639165923,0.9837414411285527,0.9556241261527214,0.965163530535158,0.8644992352494862,0.16098868030684677,1.0,0.9659310934993209,0.7830108758708252,0.9645758066875412,0.9650104120832746,0.9961635682939108,0.9721926314237935,0.9688100437397166,0.9623975150028043,0.9712406831583338,0.6422308841817816,0.9954335364278187,0.9542432771254594,0.966087623839409,0.6208858676339304,0.8942041230359186,0.7937800387363635,0.96535893758199,0.966783164720681,0.9639670352869812,0.8231248381958928,0.9664916556975547,0.868989393933021,0.5690577055690846,0.42091917509046417,0.9689918384162763,0.9805426681983828,0.9862622941630226,0.9658360580033738,0.9646066685219592
