controlRegion,stimFreq,stimWeight,band,Right-bankssts,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-cuneus,Right-entorhinal,Right-frontalpole,Right-fusiform,Right-inferiorparietal,Right-inferiortemporal,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-paracentral,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-temporalpole,Right-transversetemporal,Left-bankssts,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-cuneus,Left-entorhinal,Left-frontalpole,Left-fusiform,Left-inferiorparietal,Left-inferiortemporal,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-paracentral,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-temporalpole,Left-transversetemporal
Right-bankssts,4,0.0,3-alfa,1.0,0.8419677143380032,0.7949660882397728,0.9919626794465152,0.7869839804440342,0.9694944789106672,0.9024103795280567,0.9695212152537783,0.9657435250737104,0.9062994502000044,0.8340409380531935,0.94429311878898,0.9117731039826682,0.799796523057066,0.9651651241430214,0.8275209864525706,0.688758270460352,0.9069955236047839,0.9030700416499292,0.9634783653069512,0.7374481118037964,0.8336246352712671,0.8468334281075245,0.9741638550886158,0.89174633547745,0.9439691659578524,0.8083219319291421,0.9893611198120051,0.9719294712003914,0.8668167478343087,0.9161000018993376,0.8001393050976396,0.918384339277945,0.8039337689319148,0.8124003612559912,0.7947126193471336,0.9871524451488102,0.9206427226032373,0.812371595153985,0.903725093308698,0.8938723589712606,0.8998377559639569,0.9333898328781205,0.9565089613521636,0.9245312714022457,0.994281656667281,0.8157114700919954,0.8907072367278238,0.8228333556093346,0.8813226201031791,0.9467912076629443,0.8800311003452708,0.9278573886331591,0.9779939701281984,0.7931553233949847,0.7939665615488877,0.9955570013340035,0.8754576716109848,0.7946989242341621,0.7937306788214535,0.9940156340875029,0.7904969947386187,0.9089688836594997,0.8983304612883459,0.804089242256735,0.8691807688728077
Right-bankssts,4,0.2,3-alfa,1.0,0.8942449634022327,0.9222443949106979,0.823664656986057,0.7911483646093437,0.7494454876408184,0.1845889874584224,0.967411431635516,0.9864381194899502,0.3992592715603139,0.8810874080498305,0.5890598720847555,0.9106572577162526,0.8936359966981471,0.9650902278449842,0.16116616087295968,0.40013314447740317,0.9223568588593346,0.8992464539087882,0.9236930993368989,0.9332519844182506,0.909107652408286,0.3616825976404497,0.5432332493002756,0.658335348354605,0.9067549726325245,0.8816240594967599,0.9298854379773537,0.8993148024493326,0.8499299229813777,0.9755397531682912,0.9512826313847191,0.9702580290789222,0.6673228615626313,0.25679575210013394,0.9086078772083258,0.9904442187943407,0.786271239218647,0.9824380623759996,0.6454558204790611,0.8330930396903414,0.6437677185882354,0.8174241927946684,0.8716148210308877,0.9117239315207841,0.654555171679135,0.9674044102095714,0.7604974678495879,0.4532994633629545,0.5530234473346008,0.9548633609142749,0.7537272601885665,0.9447648646317489,0.6595166489079146,0.8254011059727604,0.35342126310991473,0.36636684445160655,0.7081759277972839,0.7705347619958224,0.9466066615491283,0.9215842073331474,0.9066096881787894,0.7851223317549206,0.6844047579195169,0.944222835798107,0.4849155542928085
Right-bankssts,4,0.4,3-alfa,1.0,0.4826416167286827,0.44562062364672345,0.6670432420787868,0.4339470867810846,0.7321773281758627,0.3240419518757221,0.926948727909472,0.6807566108283423,0.3709647026988734,0.5233316457424374,0.36355036772588084,0.7804660330614325,0.514221749336239,0.9720472491592398,0.2671419238635112,0.27652587784708255,0.4599907899405825,0.5479371043931887,0.44442342323641043,0.6216737760376089,0.7477746875920311,0.682509519635394,0.7277850659539293,0.6980180737389383,0.38520501018765013,0.4903361886775624,0.41466718918102413,0.8141000681416054,0.33733893713247043,0.962846186395153,0.23214342325341755,0.9547956525000953,0.4522517380579677,0.7257318870256315,0.48941742972351193,0.9180893554893998,0.8334390746729723,0.6882417115964997,0.6793241459832382,0.7084829419724323,0.4565225944087016,0.826878069909853,0.589093831720697,0.870846466202628,0.9459130621576479,0.52216588555995,0.6929274424934759,0.7998130439454695,0.7934778272359523,0.614736767235158,0.6624500237908839,0.7034820512586294,0.957489729201545,0.6863916155790727,0.799734284031583,0.5658053883072173,0.9666450772951788,0.700956095509949,0.5312230544598439,0.5138665430228581,0.8034827553065701,0.7453444094647285,0.3991481497581523,0.8838568561322151,0.32134463428654736
Right-bankssts,14,0.0,3-alfa,1.0,0.8089869632882256,0.9167089501182055,0.9606432341209709,0.9028618868055472,0.9732075364536554,0.9655737820479275,0.9691817014868502,0.9769941037549414,0.7734058327774664,0.764634772533117,0.9264584022557679,0.8908355166652538,0.8683420764361958,0.9977028275304691,0.8247846688190221,0.9226944049636386,0.7997238043124276,0.7837847425084283,0.9618170735361542,0.9189897176353337,0.9392159723758525,0.8040585754463884,0.9779926736527399,0.7501618471463012,0.9656808299338512,0.9304192788905363,0.992744430367755,0.9862600242049107,0.8118946283120594,0.9149412956343487,0.909199683765574,0.9558370329069145,0.8251918950554158,0.847470302967964,0.8871245817593458,0.9877786654477414,0.821706497091,0.8473327892816799,0.715299100598114,0.8158413097017626,0.8985532594946307,0.9052523304556187,0.9685171213529082,0.8491650735557634,0.9908457823036355,0.8422046308388822,0.8760639860600771,0.9396080822186412,0.7607579687010533,0.9285274044672502,0.7819530356162809,0.864527140038215,0.9721852716117698,0.8904666136893723,0.9086613670092865,0.9925669866308687,0.7757633617409015,0.9084373910126456,0.907699270724487,0.9965690530435072,0.9425444385170009,0.7634860763354538,0.7748355832727456,0.9322282206203415,0.6120346635294863
Right-bankssts,14,0.2,3-alfa,1.0,0.42272753119592016,0.20674093149268782,0.9956095122728914,0.9996002616608941,0.37612666926720206,0.9852736332568706,0.9961619053689045,0.9975472757441455,0.983191455346506,0.9915844206718567,0.813413473799854,0.9693622569067764,0.24898871146990562,0.9980627788448253,0.8573077158631817,0.9992860865149515,0.5746060872292411,0.6920528533763809,0.6474648398636618,0.9890827187617713,0.9721849521445896,0.8245149010439202,0.7109651100431468,0.9673750906749249,0.4725538554352034,0.3093024907625197,0.1715572664992032,0.9738321977183514,0.9989567712905894,0.9676793682172324,0.9864502837781667,0.9913192559850041,0.9975134704850379,0.8749842444269452,0.261415126957075,0.9662959910949089,0.9994915583816842,0.8613818997071557,0.9964286272177977,0.9989882199438813,0.9711634324530265,0.9760470684276823,0.997767946187834,0.9970623603961513,0.9935624546130997,0.6978183629589524,0.9684440367917277,0.9917992340390377,0.9979533567478373,0.6656438546275728,0.9443493661618494,0.839828596668822,0.9984593593128489,0.9992462091296263,0.9879389130806067,0.8115150578834288,0.9970589321660361,0.9222704206108979,0.6244968787098705,0.4949114742732178,0.9966998890201262,0.9890517993980183,0.9823352183898115,0.9994075793436142,0.9900645450626964
Right-bankssts,14,0.4,3-alfa,1.0,0.40372701887039686,0.13658857243640848,0.994931597410693,0.9995027543347663,0.22730326774846124,0.9845197880745387,0.996385961947177,0.9969917857620079,0.9832497258017205,0.9909993362976132,0.780849897292651,0.9696370511907729,0.19782819269032711,0.9980073359731017,0.8314409970862744,0.9991964496081851,0.5537086594127496,0.6824287984632543,0.6396289324876016,0.9891602049421259,0.9696404016401355,0.7910387496632015,0.6849528336836549,0.9678413115448196,0.4101512766013272,0.2688175482741382,0.12089025790685679,0.9718902959520813,0.9987163264206322,0.9662924083986173,0.9856153120903977,0.9844018496417707,0.9966289900618726,0.8428483808086461,0.17867628094506097,0.9662804032906308,0.9992772766199752,0.8179590099445508,0.9955966800005391,0.9983835186280916,0.9716664622995804,0.9749013049229688,0.9979515303301864,0.9968290328584023,0.9954079252147391,0.6504077104483043,0.9678460681003088,0.9867241901740854,0.9980990712223201,0.6263055123686306,0.9318977452338475,0.8024100522930465,0.9986834420683308,0.9992595239965488,0.9866759872409514,0.8003395173400543,0.997873394341439,0.8981151120662672,0.5703820502418484,0.4385552632508117,0.9973678510902797,0.9894643805024576,0.9838605255819921,0.9991954851541384,0.9890279173915997
