G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.20360878804858387,"(array([[9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.8],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4]]), array([[ 0.20360879],
       [ 4.87921244],
       [ 3.69203561],
       [ 8.0633274 ],
       [ 2.3795662 ],
       [ 2.09692709],
       [ 1.37989111],
       [ 3.92311888],
       [ 7.22493573],
       [ 6.21397903],
       [ 2.73645887],
       [ 5.8415314 ],
       [ 1.65736712],
       [ 4.68482617],
       [ 4.9852419 ],
       [ 8.32486506],
       [ 2.20564595],
       [ 1.4112456 ],
       [ 4.91624708],
       [ 0.96995674],
       [ 2.50386687],
       [ 2.23284698],
       [11.0976122 ],
       [ 1.2257176 ],
       [10.67952689],
       [ 6.92097978],
       [ 2.30264467],
       [ 3.17405464],
       [ 6.58198316],
       [ 8.93587128],
       [ 2.94390219],
       [ 8.79442388],
       [ 2.4784204 ],
       [ 2.16950399],
       [ 5.18654162],
       [ 4.13371298],
       [ 4.19453712],
       [ 5.08875374],
       [ 2.69917159],
       [ 1.8416951 ],
       [ 9.84585557],
       [ 6.40768947],
       [10.39680333],
       [ 5.19938899],
       [ 4.28383371],
       [ 3.09406934],
       [ 2.483613  ],
       [ 4.97677652],
       [ 5.50386242],
       [ 3.55135341],
       [ 1.31694547],
       [ 3.01383579],
       [ 3.09624531],
       [ 3.09932043],
       [ 2.19493111],
       [ 6.77787772],
       [ 5.9496716 ],
       [ 6.38353497],
       [ 8.19714564],
       [ 5.1146156 ],
       [ 7.37194864],
       [ 5.53056406],
       [ 3.0599517 ],
       [ 4.2711786 ],
       [ 4.21016265],
       [ 1.682781  ],
       [ 1.65179337]]))"
5,3,9.4,0.39789915389499175,"(array([[9.4],
       [9.6],
       [9.4],
       [9.2],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.2],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.2],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.2],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.8],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.8],
       [9.4],
       [9.6],
       [9.4],
       [9.2],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.2],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4]]), array([[0.39789915],
       [1.62475484],
       [2.44530887],
       [2.26722468],
       [3.64496769],
       [2.15454582],
       [1.83494245],
       [2.00652157],
       [2.05959412],
       [2.04622636],
       [2.15862313],
       [2.99694544],
       [2.71124866],
       [1.70091251],
       [1.69419166],
       [1.63898071],
       [2.20335137],
       [2.32483037],
       [3.00889574],
       [1.99701978],
       [1.84522088],
       [2.3067353 ],
       [1.87392888],
       [1.72495254],
       [1.83979564],
       [3.23461332],
       [2.09187107],
       [3.0220392 ],
       [2.27669782],
       [3.69183099],
       [1.96033434],
       [2.09086108],
       [2.36749311],
       [2.38875631],
       [1.65210714],
       [1.76432827],
       [2.69670458],
       [2.49089614],
       [2.39011882],
       [1.9523059 ],
       [2.97739128],
       [1.74053912],
       [2.29522433],
       [1.79378008],
       [1.62950586],
       [1.6302167 ],
       [2.67132124],
       [1.10001128],
       [3.61982945],
       [1.83538638],
       [2.37891597],
       [1.33132623],
       [2.34177317],
       [1.34648532],
       [0.81971717],
       [1.50667926],
       [0.66751602],
       [1.61317367],
       [2.89751338],
       [1.30146565],
       [3.62219869],
       [3.29127741],
       [2.10688774],
       [1.60200957],
       [1.00331483],
       [2.22940641],
       [2.24681814]]))"
