G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.1567273867961838,"(array([[9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.8],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4]]), array([[0.15672739],
       [3.81546451],
       [4.88216806],
       [6.81201471],
       [2.7383955 ],
       [1.94240451],
       [2.03213407],
       [5.31867353],
       [4.60433332],
       [4.35076863],
       [3.40831078],
       [4.58862022],
       [2.84197853],
       [5.04285896],
       [3.55794425],
       [3.78689331],
       [1.65522476],
       [2.36173855],
       [4.70917521],
       [2.23663398],
       [1.34283913],
       [2.0033377 ],
       [7.36259858],
       [2.67048321],
       [7.93145254],
       [7.0593036 ],
       [4.090383  ],
       [2.48512093],
       [7.89145885],
       [6.18043422],
       [1.63967563],
       [4.17827697],
       [1.90333424],
       [2.40719581],
       [3.64248848],
       [1.89103132],
       [2.07712517],
       [3.41063055],
       [2.62340789],
       [1.79276831],
       [6.05752521],
       [5.58504224],
       [7.15479015],
       [4.40427404],
       [4.20038185],
       [1.84201166],
       [3.46921418],
       [3.45030651],
       [6.455099  ],
       [1.71220444],
       [2.78458755],
       [3.34077683],
       [2.53870931],
       [2.74320436],
       [3.97762912],
       [3.10077398],
       [4.06407728],
       [4.66051217],
       [6.6177559 ],
       [3.84467056],
       [3.67828806],
       [4.65775176],
       [3.91814844],
       [3.5947082 ],
       [4.21288882],
       [1.7041329 ],
       [2.70342429]]))"
5,3,9.4,0.4106363823878448,"(array([[9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.2],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.8],
       [9.4],
       [9.6],
       [9.6],
       [9.8],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.2],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4]]), array([[0.41063638],
       [2.50145152],
       [1.60495101],
       [2.21087728],
       [0.83329722],
       [1.80754487],
       [2.62436954],
       [1.94552008],
       [1.41305748],
       [0.65127916],
       [1.98038621],
       [2.60152926],
       [2.46351742],
       [0.72884896],
       [1.38569888],
       [1.6022234 ],
       [1.2992083 ],
       [1.57146352],
       [0.90835766],
       [2.96575762],
       [2.93560647],
       [2.29086444],
       [0.67522476],
       [2.33243852],
       [3.90543894],
       [1.76977567],
       [2.95659528],
       [1.7215718 ],
       [3.22126938],
       [2.77825566],
       [1.41923847],
       [2.51210029],
       [2.00413049],
       [1.98052677],
       [1.41287016],
       [1.46323745],
       [2.64139509],
       [2.73725247],
       [1.94295023],
       [1.77833886],
       [1.09977025],
       [1.80209449],
       [2.26692475],
       [1.1457145 ],
       [2.87825656],
       [2.14877238],
       [2.30217711],
       [1.80539845],
       [1.91447077],
       [0.95164232],
       [1.17045202],
       [2.80438513],
       [2.30069722],
       [1.72582209],
       [2.73685568],
       [0.82358768],
       [2.16942739],
       [1.58958048],
       [2.68225976],
       [2.0268934 ],
       [3.40204148],
       [3.08460896],
       [0.75828216],
       [1.70310778],
       [1.62426459],
       [1.69713111],
       [2.13499353]]))"
