G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.2833070547006774,"(array([[9.4],
       [9.8],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.8],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6]]), array([[ 0.28330705],
       [ 1.2925883 ],
       [ 3.63559455],
       [ 8.85163454],
       [ 1.92467073],
       [ 2.46861055],
       [ 2.16104803],
       [ 4.89939706],
       [ 6.23503244],
       [ 4.25124908],
       [ 0.85982738],
       [ 3.09404228],
       [ 2.65469921],
       [ 3.47919101],
       [ 1.22849279],
       [ 3.63022549],
       [ 2.23952213],
       [ 1.92353173],
       [ 5.50515728],
       [ 2.08344191],
       [ 0.6751168 ],
       [ 2.85937617],
       [13.4252635 ],
       [ 3.30177928],
       [14.75654624],
       [ 6.94192346],
       [ 1.90205762],
       [ 4.14491082],
       [ 4.42850088],
       [ 5.48732201],
       [ 3.03643844],
       [ 3.63111832],
       [ 2.13064023],
       [ 2.5415812 ],
       [ 5.14783921],
       [ 1.82120359],
       [ 4.90125016],
       [ 2.62704032],
       [ 2.0757244 ],
       [ 2.11543135],
       [ 5.10955233],
       [15.78646584],
       [ 6.3608754 ],
       [ 6.01667405],
       [ 3.08098203],
       [ 2.86082928],
       [ 2.68545551],
       [ 1.71927607],
       [ 6.39997208],
       [ 1.85350155],
       [ 1.37401241],
       [ 3.286465  ],
       [ 2.17269961],
       [ 2.0098164 ],
       [ 2.44573191],
       [11.92392086],
       [ 3.53275829],
       [ 6.49697626],
       [ 7.99854026],
       [ 1.96237711],
       [ 2.10485011],
       [ 3.85512206],
       [13.1400961 ],
       [ 8.45249191],
       [11.07972963],
       [ 1.87183489],
       [ 2.63554594]]))"
5,3,9.4,0.12534025181291816,"(array([[9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.8],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.8],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.2],
       [9.2],
       [9.4],
       [9.8],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4]]), array([[0.12534025],
       [1.9763198 ],
       [2.33722937],
       [1.53720991],
       [1.29461161],
       [2.39255278],
       [1.09872118],
       [1.77696137],
       [1.85009633],
       [1.45149707],
       [1.76579176],
       [1.62556485],
       [2.34774953],
       [0.87735496],
       [2.77784032],
       [2.50282731],
       [2.73530382],
       [2.73600552],
       [1.88311035],
       [2.336688  ],
       [1.52791882],
       [2.72547539],
       [2.45719962],
       [1.69428321],
       [1.8612969 ],
       [1.30317371],
       [2.55920681],
       [1.25291298],
       [2.42835383],
       [0.69690632],
       [2.05339565],
       [1.3236982 ],
       [1.93403266],
       [2.32613327],
       [1.80955984],
       [2.62129243],
       [2.04374462],
       [2.62072762],
       [2.04121784],
       [1.59192911],
       [1.1335353 ],
       [2.20245314],
       [1.43273418],
       [1.52127789],
       [2.57680345],
       [2.28364751],
       [2.61665614],
       [1.46317062],
       [1.43046374],
       [1.94980302],
       [1.90272198],
       [1.0132418 ],
       [2.49024959],
       [2.31620538],
       [1.86611543],
       [1.03972455],
       [1.58365565],
       [1.59242117],
       [0.68316195],
       [1.38304564],
       [1.21456928],
       [4.19826785],
       [2.56590809],
       [3.40222474],
       [2.07757235],
       [2.69867396],
       [3.12190358]]))"
