G,speed,mS_peak,mS_module,allSignals
5,1,9.6,0.24208430503510345,"(array([[9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4]]), array([[ 0.24208431],
       [ 2.40313488],
       [ 1.94678696],
       [ 8.82102092],
       [ 2.21056207],
       [ 2.14832794],
       [ 3.03298918],
       [ 1.97387213],
       [ 8.74277417],
       [ 2.61784589],
       [ 3.32086786],
       [ 2.75811179],
       [ 2.60421924],
       [ 1.59167452],
       [ 2.52979116],
       [ 5.18083937],
       [ 1.61842472],
       [ 1.88065148],
       [ 1.65283729],
       [ 1.56461233],
       [ 1.60361985],
       [ 2.8412738 ],
       [11.47195235],
       [ 2.26716872],
       [10.34397622],
       [ 4.2899733 ],
       [ 4.25986038],
       [ 3.57415182],
       [ 2.36132769],
       [ 6.14447983],
       [ 4.38112026],
       [ 7.41893352],
       [ 1.89258485],
       [ 2.55139711],
       [ 1.90746137],
       [ 2.4187989 ],
       [ 4.012263  ],
       [ 2.27572497],
       [ 2.14167665],
       [ 2.93747064],
       [ 1.77834206],
       [ 5.83704929],
       [ 1.48867058],
       [ 1.09194852],
       [ 2.06623926],
       [ 2.42693761],
       [ 1.44759784],
       [ 2.93734506],
       [ 0.99446553],
       [ 3.23608328],
       [ 1.97268159],
       [ 2.63346471],
       [ 2.63717887],
       [ 2.04780589],
       [ 2.69013086],
       [ 9.65345229],
       [ 2.75547737],
       [ 8.90932083],
       [ 3.07632278],
       [ 4.65120398],
       [ 1.5277232 ],
       [ 4.9047054 ],
       [ 3.18875691],
       [ 2.74682478],
       [ 6.33889223],
       [ 2.34080713],
       [ 1.60917458]]))"
5,3,9.2,0.22807701818931048,"(array([[9.2],
       [9.4],
       [9.6],
       [9.2],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.2],
       [9.4],
       [9.8],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.8],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4]]), array([[0.22807702],
       [1.40587368],
       [2.53385888],
       [0.94061238],
       [1.2185532 ],
       [1.32292117],
       [1.41385425],
       [1.89157944],
       [2.55884497],
       [2.38807336],
       [1.84912075],
       [1.00448351],
       [1.57281764],
       [1.61679643],
       [1.11623949],
       [2.88929952],
       [2.50767731],
       [1.62010932],
       [2.14401477],
       [3.03090901],
       [3.44593586],
       [2.53184629],
       [1.51048728],
       [1.25254789],
       [1.24633051],
       [2.90894195],
       [1.3595475 ],
       [4.07990353],
       [2.15497235],
       [2.46830463],
       [1.30397851],
       [1.91703366],
       [1.91227011],
       [2.02331137],
       [0.88371805],
       [2.24154256],
       [2.55103879],
       [2.22868287],
       [1.84619576],
       [2.38136956],
       [2.67731001],
       [2.01057253],
       [1.62697774],
       [1.99532065],
       [1.48631118],
       [2.74915039],
       [2.22174828],
       [2.28179489],
       [0.8839924 ],
       [1.86034794],
       [2.27187437],
       [1.71881193],
       [1.1916105 ],
       [2.62880884],
       [1.78789706],
       [2.05954258],
       [2.97485156],
       [3.81166171],
       [2.04002375],
       [1.80991461],
       [2.61436999],
       [3.40375874],
       [2.44284329],
       [2.27405362],
       [1.73106557],
       [2.24469806],
       [2.51538137]]))"
