G,speed,mS_peak,mS_module,allSignals
5,1,9.6,0.21888122156523052,"(array([[9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.8],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6]]), array([[ 0.21888122],
       [ 4.40230259],
       [ 7.9738176 ],
       [ 5.76255469],
       [ 1.24324221],
       [ 1.81762192],
       [ 2.76749094],
       [ 2.1729176 ],
       [ 9.11569266],
       [ 2.49002447],
       [ 3.75881021],
       [ 2.22572944],
       [ 3.31094272],
       [ 1.60811935],
       [ 3.20255447],
       [ 5.9346784 ],
       [ 2.71827599],
       [ 2.12932035],
       [ 4.06922647],
       [ 2.91064391],
       [ 2.40957118],
       [ 1.21041999],
       [ 4.80422558],
       [ 4.05267243],
       [ 5.70073975],
       [ 5.58953798],
       [ 0.76736761],
       [ 4.55361888],
       [ 8.1202459 ],
       [ 9.45672387],
       [ 5.08166723],
       [ 6.86537799],
       [ 1.51456493],
       [ 1.67838521],
       [ 5.00062694],
       [ 6.17462308],
       [ 4.38056646],
       [ 1.65052671],
       [ 2.45747551],
       [ 1.37467091],
       [ 7.54026665],
       [ 4.53012007],
       [10.59220819],
       [ 1.78239839],
       [ 6.77414367],
       [ 1.49901624],
       [ 3.761198  ],
       [ 2.61419917],
       [ 9.37495359],
       [ 4.30948831],
       [ 2.30644984],
       [ 4.85307944],
       [ 1.97018655],
       [ 1.69825826],
       [ 2.33764111],
       [ 3.99787533],
       [ 1.72850536],
       [ 6.68842659],
       [ 3.26889618],
       [ 3.02411521],
       [ 2.9844816 ],
       [ 7.21486429],
       [ 3.28228437],
       [ 3.63116589],
       [ 3.93140693],
       [ 2.56959125],
       [ 2.15557243]]))"
5,3,9.2,0.5336904501813758,"(array([[9.2],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.8],
       [9.8],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.2],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.2],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.2],
       [9.4],
       [9.6]]), array([[0.53369045],
       [1.91511542],
       [1.53974505],
       [2.28957027],
       [2.31192014],
       [1.14845014],
       [1.77611142],
       [1.63714112],
       [1.15551381],
       [1.78370205],
       [0.91748371],
       [2.97456356],
       [2.46900272],
       [1.98679815],
       [2.40872434],
       [1.92261838],
       [2.07851689],
       [2.26475843],
       [1.77643131],
       [2.09199458],
       [1.33468082],
       [2.77607205],
       [1.92114581],
       [2.02348482],
       [2.32675009],
       [2.24471892],
       [1.45355767],
       [0.54110421],
       [1.32262939],
       [1.52980405],
       [1.03789131],
       [2.5536366 ],
       [2.65287675],
       [2.40411886],
       [2.99141001],
       [2.13597554],
       [1.59852475],
       [1.23528174],
       [2.31528052],
       [1.6701924 ],
       [1.9395215 ],
       [2.03389175],
       [1.2120167 ],
       [0.62650338],
       [2.67482208],
       [1.39878917],
       [2.94898158],
       [2.92584145],
       [1.95151925],
       [2.15563747],
       [1.75148217],
       [3.17748656],
       [2.46205157],
       [1.7192318 ],
       [0.97820202],
       [1.48868749],
       [1.25806933],
       [2.42928749],
       [1.56344457],
       [1.95612024],
       [1.58671191],
       [1.39431627],
       [1.79148501],
       [1.18579372],
       [0.46649248],
       [1.86572612],
       [1.91609947]]))"
