G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.07146964938964068,"(array([[9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6]]), array([[0.07146965],
       [3.05979712],
       [3.23556877],
       [2.00097224],
       [1.64022696],
       [2.42250583],
       [1.91539064],
       [4.4973987 ],
       [4.53433872],
       [4.45444134],
       [1.62878274],
       [2.24143737],
       [4.01274077],
       [2.02639586],
       [3.53756266],
       [2.33993706],
       [1.4846725 ],
       [1.87428801],
       [2.58798279],
       [2.95602983],
       [1.54249105],
       [2.84092312],
       [6.34046315],
       [3.34211364],
       [3.46280723],
       [3.10708448],
       [3.22608085],
       [1.32582744],
       [3.65550309],
       [6.85033528],
       [5.75872253],
       [7.66824308],
       [1.93614018],
       [3.06541021],
       [4.60653824],
       [1.61892132],
       [4.1005162 ],
       [3.3083598 ],
       [2.10067413],
       [2.18744375],
       [3.96797671],
       [4.76612589],
       [5.25860239],
       [4.30498216],
       [4.5987942 ],
       [1.79660166],
       [1.87371849],
       [3.79160085],
       [4.93977471],
       [2.01365903],
       [2.31462326],
       [3.29669573],
       [2.23652306],
       [1.6511905 ],
       [2.07173034],
       [3.2997808 ],
       [3.52379209],
       [3.27502929],
       [5.24129918],
       [1.35550632],
       [2.74028998],
       [2.38544744],
       [6.17376382],
       [3.09764759],
       [2.6489491 ],
       [1.87295991],
       [2.46461443]]))"
5,3,9.4,0.43853597503499164,"(array([[9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.2],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.2],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4]]), array([[0.43853598],
       [1.00536679],
       [3.07932194],
       [1.20627374],
       [1.38266619],
       [1.86027741],
       [1.89703891],
       [2.36340041],
       [0.64508543],
       [0.97192233],
       [2.64194539],
       [1.69284081],
       [2.64774921],
       [1.35054873],
       [2.94416779],
       [1.38077168],
       [2.04421373],
       [1.89687917],
       [2.15567125],
       [1.55552963],
       [2.14621238],
       [2.24167778],
       [2.55118425],
       [1.41210726],
       [1.79246123],
       [1.93023005],
       [2.98812394],
       [2.58469547],
       [3.14106812],
       [1.02408832],
       [2.46646712],
       [1.06792552],
       [2.03850414],
       [2.04518344],
       [2.05250541],
       [3.17034337],
       [3.07906016],
       [0.65999837],
       [2.01958205],
       [1.56367227],
       [1.80057345],
       [3.4275403 ],
       [2.95353556],
       [1.81567384],
       [1.87656938],
       [2.77313006],
       [2.34831123],
       [1.24683805],
       [2.21847885],
       [1.52096767],
       [1.93745502],
       [2.15937617],
       [1.70749112],
       [2.04169643],
       [2.6555123 ],
       [0.99756789],
       [2.77147339],
       [1.36246701],
       [2.51363331],
       [2.42535081],
       [1.27078542],
       [3.84281395],
       [1.66462398],
       [2.37586734],
       [1.64294822],
       [2.07852043],
       [1.89890245]]))"
