G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.27345343042111453,"(array([[9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.8],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4]]), array([[ 0.27345343],
       [ 4.5815965 ],
       [ 5.24644849],
       [14.82323415],
       [ 3.47091115],
       [ 1.64190557],
       [ 5.17406758],
       [ 3.53276818],
       [ 7.56779488],
       [ 5.3358171 ],
       [ 3.26512839],
       [ 2.21837508],
       [ 4.75433525],
       [ 3.39527056],
       [ 4.40200366],
       [ 9.64301653],
       [ 2.51232027],
       [ 2.3860974 ],
       [ 4.14347662],
       [ 2.84001839],
       [ 2.53354109],
       [ 1.80225107],
       [15.98874194],
       [ 0.67721339],
       [18.04451426],
       [ 4.011482  ],
       [ 4.66559901],
       [ 1.68667787],
       [ 8.50512717],
       [ 4.27808938],
       [10.42635582],
       [13.77686296],
       [ 2.4928887 ],
       [ 3.42527418],
       [ 5.3476993 ],
       [ 5.40972118],
       [17.19174375],
       [ 3.42245094],
       [ 1.73111972],
       [ 4.7827959 ],
       [ 3.4274136 ],
       [16.1884387 ],
       [ 7.66121408],
       [ 2.8747067 ],
       [ 2.68173292],
       [ 4.49296516],
       [ 2.40496426],
       [ 5.53004175],
       [10.4133824 ],
       [ 2.21293063],
       [ 1.58565285],
       [ 6.59721111],
       [ 1.50212199],
       [ 3.02943174],
       [ 2.23083043],
       [29.19314099],
       [ 2.13962806],
       [25.9315279 ],
       [ 4.58343485],
       [ 4.34377102],
       [ 6.31739499],
       [ 9.81320973],
       [13.78295175],
       [10.05334388],
       [22.62386299],
       [ 3.16904454],
       [ 4.27678623]]))"
5,3,9.4,0.4816608933891216,"(array([[9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.8],
       [9.6],
       [9.4],
       [9.4],
       [9.2],
       [9.4],
       [9.4],
       [9.2],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.2],
       [9.6],
       [9.6],
       [9.6],
       [9.2],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.2],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.8],
       [9.4],
       [9.6],
       [9.4],
       [9.8],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.2],
       [9.6],
       [9.4],
       [9.6],
       [9.8],
       [9.6],
       [9.4],
       [9.2],
       [9.2],
       [9.4],
       [9.2],
       [9.4],
       [9.4],
       [9.6]]), array([[0.48166089],
       [1.10300233],
       [2.30716899],
       [2.22216158],
       [3.02091926],
       [2.05447662],
       [3.10697727],
       [2.70479202],
       [1.22829222],
       [0.86189267],
       [1.69476808],
       [1.50066218],
       [2.53863099],
       [1.9813676 ],
       [2.37410705],
       [0.85637452],
       [1.38357742],
       [1.57303475],
       [1.68302138],
       [1.59893277],
       [2.95356445],
       [1.74537133],
       [1.56859648],
       [2.32829064],
       [3.28846839],
       [2.34957377],
       [1.40700049],
       [2.1123383 ],
       [1.75927831],
       [2.06685916],
       [3.02171425],
       [1.22949563],
       [2.35436891],
       [1.41293996],
       [1.96391084],
       [1.42695975],
       [1.89440004],
       [2.90693644],
       [1.53492874],
       [2.54100119],
       [2.95820515],
       [0.94221395],
       [2.29700669],
       [2.52997811],
       [1.37531449],
       [1.58162761],
       [1.72567919],
       [2.44429604],
       [2.41542623],
       [2.60086599],
       [1.552274  ],
       [2.57269617],
       [1.71068753],
       [1.02406434],
       [1.70964833],
       [2.45314779],
       [3.47131159],
       [1.26649697],
       [2.99377839],
       [3.38574029],
       [1.70440415],
       [2.80154743],
       [1.63975557],
       [1.46645185],
       [1.58165676],
       [1.96393916],
       [2.27369076]]))"
