,wi,jn,io,s1,s2,s3,s4,s5,s6,s7
0,0.7,0.15,0.35,56.80854875875041,78.7158371128879,87.08973065081754,64.86686773503565,0.15853609919802725,13.458843178930465,46.31869131988869
1,0.7,0.15,0.352,1.1923658744577124,17.83281815500645,41.52531294932818,7.238824878530089,18.194163628209225,5.308478337939593,63.86425027979602
2,0.7,0.15,0.354,79.76930890270113,33.45099997863547,62.53806120719136,54.166125271701056,84.98888448089599,26.289518634283002,38.73181066668311
3,0.7,0.15,0.356,82.48718629073693,0.9065759895477711,84.01406600741667,69.02433421594974,12.283082239145283,85.87906152391406,45.81148331304627
4,0.7,0.15,0.358,87.57342065162624,53.47750707622524,15.681426684313248,10.730953414667642,53.80963040574147,17.081147818862657,3.700084750910708
5,0.7,0.15,0.36,69.01095245113,57.08460766958238,43.115467967290535,11.821309022635504,66.06749291014927,1.49431753426159,1.867707524257122
6,0.7,0.15,0.362,19.459234779772853,58.20651615297879,16.824260012697273,3.4105905848120717,82.20935752335177,76.66258656339762,84.5807055310767
7,0.7,0.15,0.364,22.713262239024473,48.8009887104527,44.32140958809265,41.66407558803851,17.943925071230808,61.17072389150309,53.515834734026214
8,0.7,0.15,0.366,43.30490848583,12.434738387908912,19.287917547120966,47.58063055571215,67.07526386933256,19.173525510929824,39.508281139885874
9,0.7,0.15,0.368,83.54398323971651,59.89218775191288,65.82677570338858,5.518876610503289,79.55827391400042,33.21184876103843,86.71140103177038
10,0.7,0.15,0.37,13.613190974905125,42.929784681157,9.380369380814187,15.379573059453996,0.9832648717540725,71.45854449250304,73.10729149642802
11,0.7,0.15,0.372,1.10097068138835,85.06044993947212,22.620302619358416,4.6581397783566905,6.353943900975567,52.07622370826292,31.26290671198398
12,0.7,0.15,0.374,86.32734404726978,20.961836328252687,73.3029279588162,32.11737990629441,34.585510109590814,79.12961633824943,1.9834603987434547
13,0.7,0.15,0.376,87.6546653488805,42.09454553024655,63.063979816957016,24.83310375974867,71.87263009063929,13.109658449817188,68.66933689186271
14,0.7,0.15,0.378,52.91985895524717,13.459505865051506,27.585069946641813,0.8009578814431698,45.976234623343906,46.164387875132164,41.96213760876161
15,0.7,0.15,0.38,15.064172159409864,11.445222114864865,2.57433851611669,8.044724290942556,65.53146946591941,54.754936003929,61.391775421093534
16,0.7,0.15,0.382,31.212408280507557,85.90990010223872,30.15804978094415,1.114612114687562,89.03139937820947,87.79747904942015,54.126362266779026
