G,speed,plvD_r,pliD_r,aecD_r,plvT_r,pliT_r,aecT_r,plvA_r,pliA_r,aecA_r,plvB_r,pliB_r,aecB_r,plvG_r,pliG_r,aecG_r
0.5,3,0.04369850220508238,-0.004067223711521494,0.04519376380541066,0.22295215012563924,0.07338598653403997,0.04276147600323225,0.29192902673636684,0.040989424535171085,0.033264865105215737,0.2647338406842239,0.043443604622144784,0.12218141974274895,0.30147070527936043,-0.03367464514687734,0.08060539641933409
0.5,6,0.06739743939771506,0.0027047632844802647,0.010042205164506704,0.17004360025313076,0.005170548398638483,-0.014873666373546441,0.24453146890626415,0.033618145917268125,0.14731301879298278,0.32556790395025986,0.07040269295251995,0.29560394620841773,0.26263617195544076,0.01510131792305994,0.1938880790188025
0.5,9,0.17438117956099894,-0.039885647850242754,0.09516549315045099,0.23169077467338922,0.011237537388286022,0.12099121573322971,0.12898939961664357,-0.01212040308250354,0.18455452855548793,0.13916110900197265,0.027645111290706507,0.21404501902590475,0.22004764282565434,0.03967915946698593,0.15997076756215237
0.75,3,0.07651891295993907,0.023873616781502606,0.10811502744745535,0.3633192725251856,0.08511710902296839,0.12658291829420967,0.30963442933965135,0.032836308515557106,0.20854990649990043,0.31458057063737693,0.06994840148991936,0.2407575518788549,0.33491150203228487,-0.036609604561447635,0.29150875278992716
0.75,6,0.15379872558617919,0.0145371618573803,0.08955146023338968,0.21934928528470196,0.03985439828091844,0.014439843379480868,0.3183888249336094,0.10831740725292771,0.029895913508673492,0.3045352985135826,0.04455807250041166,0.23893480850951343,0.3246015482683902,-0.026383440541049456,0.2762922149153243
0.75,9,0.1228059870987133,0.013156466733319877,0.20571958840240678,0.1311488157993023,-0.0262614737898182,0.1007362975606255,0.12717531295634357,0.037786862135470375,0.22873941852566218,0.15843404000681735,0.02764478019562903,0.2629646735365264,0.07929037974211584,-0.038052203290357425,0.11567713862717544
1.0,3,0.17389976137298233,0.007468736922266144,0.15719702279002337,0.30646427326290315,0.08362394323929254,0.20651190278316142,0.3259660434848063,0.09104286109569255,0.053406053085804324,0.3355980610046028,0.027797794450045585,0.1760654492976898,0.38901600025001776,-0.011014607332805421,0.2124207942000076
1.0,6,0.15858117424406673,0.03782200205976816,0.14144823986840455,0.3332391709852494,0.08538269276694524,0.14270472009968158,0.26841064408842813,0.045699121044430906,0.12906937383633024,0.3059654991555357,0.028058176634019626,0.2699134198554847,0.3891326887810053,0.052172973796297546,0.302975152360332
1.0,9,0.053461397855023095,0.021867937479380883,0.07251149149895261,0.24977564381746706,0.05117820439410363,0.05775049056628611,0.05503801906863767,-0.004324164495325335,0.14928495632277242,0.22633992400972633,-0.006739058189594556,0.17781296316710282,0.27548888483871253,-0.03394657142275663,0.22316805312169102
1.25,3,0.10916528248253023,-0.011965593350848989,0.047015903577039546,0.25075702650508336,0.07826186903635805,0.07143366127650543,0.2460672888170465,0.05442964528437248,0.062218769178963025,0.26454472292587095,0.08659731002303422,0.1799841822952496,0.28896553926996754,-0.024525923903365835,0.2948779270112773
1.25,6,0.13432831873904638,-0.025189777591634,0.029225076368510763,0.34784173714661315,0.060665149365575544,0.09168867146445958,0.23071577954964423,0.05722117598475637,0.2245681794353189,0.3051795533474384,0.05684943897013047,0.22690685067876717,0.32200830625847743,-0.06484405583866439,0.25569408458143245
1.25,9,0.08476551776994695,-0.017992377746343644,0.03999309202670945,0.30557781752639895,0.08242186326453989,0.08680245237208183,0.2308023205679464,0.030342760084120343,0.14836166207172155,0.2807557545729982,-0.0058897205131626445,0.25077001399278737,0.2703149585529259,-0.01615946262281968,0.20767799267558712
1.5,3,0.008588230263159144,-0.007342471091769982,0.011001540634760061,0.23779947579256902,0.061477161172822044,0.019457201507046964,0.2090847883523379,0.027174402340801537,0.08916742058882911,0.32987812095770497,0.054015695215198424,0.14904476266952293,0.2872384195187098,0.0044882398943587145,0.22966530306331356
1.5,6,0.04735953550082837,-0.019748185973381214,-0.015163610821540049,0.30609511637236225,0.05058924233558427,0.04056262328827957,0.19655311647127222,-0.042777628918347056,0.15463858175397743,0.28571455737229134,0.0193527412161973,0.2139398803935184,0.23551336759387267,-0.05889207535240899,0.1429922905797495
1.5,9,0.08982921860943553,0.016992774970907017,-0.0013527629709913953,0.30703873992319275,0.06812104436908777,0.02776378355915882,0.10093356522198918,0.03707436035046529,0.060691334322342486,0.18808453081729573,0.06668857763708748,0.2028944716650312,0.29428640758220287,0.015487766675062376,0.1653912865756357
