key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Words.started,Words.stopped,textbox.started,textbox.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"['a', 's', 'd', 'f', 'h', 'a', 'f', 'h', 'return', 'a', 's', 'd', 'f', 'h', 'return', 'a', 's', 'd', 'f', 'h', 'return', 'escape', 'escape', 'lctrl', 'c']","[1.9903391000116244, 2.107913199986797, 2.191051499976311, 2.258287600008771, 2.391157599980943, 2.5245261000236496, 2.6580440999823622, 2.7749593000044115, 3.1746096999850124, 3.8919085999950767, 3.942021700029727, 4.041703000024427, 4.05778149998514, 4.208001699997112, 4.575558600015938, 4.992044700018596, 5.025634600024205, 5.141892999992706, 5.158841199998278, 5.40908249997301, 5.759004899999127, 7.459891400008928, 7.9266264999751, 8.743756700016093, 8.943957599985879]",0.006937040016055107,None,,,,,df,001,2021_Feb_08_1312,freeAssociationTask,2020.2.10,60.03427956907695,
,,,,11.354047600005288,None,11.354047600005288,None,,,,,,,
