ROIabbr,ROI
8Av_L,Area_8Av_L
8BL_L,Area_8B_Lateral_L
8C_L,Area_8C_L
9-46d_L,Area_9-46d_L
9a_L,Area_9_anterior_L
9p_L,Area_9_Posterior_L
a9-46v_L,Area_anterior_9-46v_L
i6-8_L,Inferior_6-8_Transitional_Area_L
p9-46v_L,Area_posterior_9-46v_L
s6-8_L,Superior_6-8_Transitional_Area_L
SFL_L,Superior_Frontal_Language_Area_L
V1_R,Primary_Visual_Cortex_R
V2_R,Second_Visual_Area_R
V3_R,Third_Visual_Area_R
V4_R,Fourth_Visual_Area_R
IPS1_R,IntraParietal_Sulcus_Area_1_R
V3A_R,Area_V3A_R
V3B_R,Area_V3B_R
V6_R,Sixth_Visual_Area_R
V6A_R,Area_V6A_R
V7_R,Seventh_Visual_Area_R
FFC_R,Fusiform_Face_Complex_R
PIT_R,Posterior_InferoTemporal_complex_R
V8_R,Eighth_Visual_Area_R
VMV1_R,VentroMedial_Visual_Area_1_R
VMV2_R,VentroMedial_Visual_Area_2_R
VMV3_R,VentroMedial_Visual_Area_3_R
VVC_R,Ventral_Visual_Complex_R
FST_R,Area_FST_R
LO1_R,Area_Lateral_Occipital_1_R
LO2_R,Area_Lateral_Occipital_2_R
LO3_R,Area_Lateral_Occipital_3_R
MST_R,Medial_Superior_Temporal_Area_R
MT_R,Middle_Temporal_Area_R
PH_R,Area_PH_R
V3CD_R,Area_V3CD_R
V4t_R,Area_V4t_R
1_R,Area_1_R
2_R,Area_2_R
3a_R,Area_3a_R
3b_R,Primary_Sensory_Cortex_R
4_R,Primary_Motor_Cortex_R
23c_R,Area_23c_R
24dd_R,Dorsal_Area_24d_R
24dv_R,Ventral_Area_24d_R
5L_R,Area_5L_R
5m_R,Area_5m_R
5mv_R,Area_5m_ventral_R
6ma_R,Area_6m_anterior_R
6mp_R,Area_6mp_R
SCEF_R,Supplementary_and_Cingulate_Eye_Field_R
55b_R,Area_55b_R
6a_R,Area_6_anterior_R
6d_R,Dorsal_area_6_R
6r_R,Rostral_Area_6_R
6v_R,Ventral_Area_6_R
FEF_R,Frontal_Eye_Fields_R
PEF_R,Premotor_Eye_Field_R
43_R,Area_43_R
FOP1_R,Frontal_Opercular_Area_1_R
OP1_R,Area_OP1-SII_R
OP2-3_R,Area_OP2-3-VS_R
OP4_R,Area_OP4-PV_R
52_R,Area_52_R
A1_R,Primary_Auditory_Cortex_R
LBelt_R,Lateral_Belt_Complex_R
MBelt_R,Medial_Belt_Complex_R
PBelt_R,ParaBelt_Complex_R
PFcm_R,Area_PFcm_R
RI_R,RetroInsular_Cortex_R
A4_R,Auditory_4_Complex_R
A5_R,Auditory_5_Complex_R
STGa_R,Area_STGa_R
STSda_R,Area_STSd_anterior_R
STSdp_R,Area_STSd_posterior_R
STSva_R,Area_STSv_anterior_R
STSvp_R,Area_STSv_posterior_R
TA2_R,Area_TA2_R
AAIC_R,Anterior_Agranular_Insula_Complex_R
AVI_R,Anterior_Ventral_Insular_Area_R
FOP2_R,Frontal_Opercular_Area_2_R
FOP3_R,Frontal_Opercular_Area_3_R
FOP4_R,Frontal_Opercular_Area_4_R
FOP5_R,Area_Frontal_Opercular_5_R
Ig_R,Insular_Granular_Complex_R
MI_R,Middle_Insular_Area_R
PI_R,Para-Insular_Area_R
Pir_R,Pirform_Cortex_R
PoI1_R,Area_Posterior_Insular_1_R
PoI2_R,Posterior_Insular_Area_2_R
H_R,Hippocampus_R
PreS_R,PreSubiculum_R
EC_R,Entorhinal_Cortex_R
PeEc_R,Perirhinal_Ectorhinal_Cortex_R
TF_R,Area_TF_R
PHA1_R,ParaHippocampal_Area_1_R
PHA2_R,ParaHippocampal_Area_2_R
PHA3_R,ParaHippocampal_Area_3_R
PHT_R,Area_PHT_R
TE1a_R,Area_TE1_anterior_R
TE1m_R,Area_TE1_Middle_R
TE1p_R,Area_TE1_posterior_R
TE2a_R,Area_TE2_anterior_R
TE2p_R,Area_TE2_posterior_R
TGd_R,Area_TG_dorsal_R
TGv_R,Area_TG_Ventral_R
PSL_R,PeriSylvian_Language_Area_R
STV_R,Superior_Temporal_Visual_Area_R
TPOJ1_R,Area_TemporoParietoOccipital_Junction_1_R
TPOJ2_R,Area_TemporoParietoOccipital_Junction_2_R
TPOJ3_R,Area_TemporoParietoOccipital_Junction_3_R
7AL_R,Lateral_Area_7A_R
7Am_R,Medial_Area_7A_R
7PC_R,Area_7PC_R
7PL_R,Lateral_Area_7P_R
7Pm_R,Medial_Area_7P_R
AIP_R,Anterior_IntraParietal_Area_R
LIPd_R,Area_Lateral_IntraParietal_dorsal_R
LIPv_R,Area_Lateral_IntraParietal_ventral_R
MIP_R,Medial_IntraParietal_Area_R
VIP_R,Ventral_IntraParietal_Complex_R
